scale_label,layer_identifier,expected_requests
"1:1,000,000",geonode:stateboundaries_1cbe54c71145a6eaf9292c52dcc90d32,1
"1:500,000",geonode:stateboundaries_1cbe54c71145a6eaf9292c52dcc90d32,1
"1:500,000",geonode:refrence_point,1
"1:500,000",geonode:unguja_7cm,8
"1:500,000",geonode:pemba_7cm,8
"1:250,000",geonode:stateboundaries_1cbe54c71145a6eaf9292c52dcc90d32,1
"1:250,000",geonode:refrence_point,1
"1:250,000",geonode:unguja_7cm,8
"1:250,000",geonode:pemba_7cm,8
"1:150,000",geonode:stateboundaries_1cbe54c71145a6eaf9292c52dcc90d32,1
"1:150,000",geonode:refrence_point,1
"1:150,000",geonode:regions,1
"1:150,000",geonode:unguja_7cm,12
"1:150,000",geonode:pemba_7cm,12
"1:100,000",geonode:stateboundaries_1cbe54c71145a6eaf9292c52dcc90d32,1
"1:100,000",geonode:refrence_point,1
"1:100,000",geonode:districts_be14332b7374e9ce77f49ccb41192217,1
"1:100,000",geonode:unguja_7cm,15
"1:100,000",geonode:pemba_7cm,15
